girl,std_mark,realpercentile,kcpe2001,kcpe2004,total_2004,rotation,total1_2005,streams1_2005,init_clsize,Nteachers,gradesize,schoolsize,Y2,schoolid,streamsize,Y1,Nteachers_prim,treatment,costs
0,0.19118257,56.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,14.528571,10,0,0
1,-0.52575207,38.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,6.5714283,10,0,0
0,0.1625052,55.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,5.214286,10,0,0
0,-1.0515041,22.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,9.3714285,10,0,0
1,0.0,3.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,11.057143,10,0,0
0,-1.0228268,23.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,1.9428571,10,0,0
1,-1.0706224,20.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,9.314285,10,0,0
0,-1.1662138,13.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,5.0,10,0,0
1,0.45883816,67.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,15.714286,10,0,0
0,-0.6404616,34.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,3.8,10,0,0
1,0.56398857,73.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,11.171429,10,0,0
0,-1.3573962,5.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,6.8857145,10,0,0
0,1.0515041,83.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,15.714285,10,0,0
1,-1.3096006,6.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,9.135715,10,0,0
0,1.2713641,99.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,22.15,10,0,0
0,0.3345695,70.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,22.935715,10,0,0
0,0.3345695,61.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,10.028571,10,0,0
1,0.05735477,65.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,8.085714,10,0,0
0,-1.1279771,15.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,3.5071428,10,0,0
0,-1.2618049,8.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,6.6142855,10,0,0
1,-0.6978164,32.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,11.457143,10,0,0
0,-1.0992998,18.0,204.88,264.0,442,1,74.0,1,74.0,9,78.0,0.78,0.0,481,78.0,11.457143,10,0,0
1,0.4784256,76.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,18.471428,17,1,21
0,-0.85246736,23.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,7.8357143,17,1,21
1,-0.7741795,30.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,10.614285,17,1,21
0,-0.69589174,38.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,6.428571,17,1,21
1,-0.53931606,45.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,10.657143,17,1,21
1,-0.30445263,51.0,267.83,262.0,710,1,138.0,1,138.0,11,137.0,1.37,1500.0,485,70.0,12.042857,17,1,21
