pupil_id,a01,treatment,pre_theta_sd,post_theta_sd,ple_tried,ple_pass,books_with,b_homework_pp,b_fem_pp,b_elec_pp,b_cement_pp,b_radio_pp,b_edhigh_teacher,b_fem_teacher,decile,scores_top,decile_decile,baseline_score,endline_score
1002073.0,1002.0,0.0,0.4357233569767327,-0.4366975243817375,0,0,0,1,0,0,0,1,0,0,6.0,1,0.0,30.0,26.0
1005019.0,1005.0,0.0,0.3616814643061451,-0.138948742362937,1,1,0,1,1,0,0,1,0,0,6.0,1,0.0,30.0,26.0
1005047.0,1005.0,0.0,0.423227919392587,1.1717215199776458,1,1,0,1,0,1,1,1,0,0,6.0,1,0.0,34.0,42.0
1005054.0,1005.0,0.0,0.3315177788634939,0.5561304581681081,0,0,0,1,0,0,0,1,0,0,6.0,1,0.0,32.0,40.0
1005065.0,1005.0,0.0,0.3043037537631876,0.6683695982814032,0,0,0,1,0,0,0,0,0,0,6.0,1,0.0,30.0,36.0
1006005.0,1006.0,0.0,0.5153090695625829,0.7512401834337978,1,0,1,1,1,1,0,0,1,0,6.0,1,0.0,32.0,40.0
1006009.0,1006.0,0.0,0.3101683800328093,-0.0943189648617638,1,0,1,1,0,0,1,1,1,0,6.0,1,0.0,32.0,30.0
1011017.0,1011.0,1.0,0.5003493592041275,1.492363694214469,1,1,0,1,1,1,1,1,0,0,6.0,1,18000.0,30.0,48.0
1011020.0,1011.0,1.0,0.49584724077250225,0.4543799611488865,1,1,0,1,1,0,0,0,0,0,6.0,1,18000.0,32.0,36.0
1012001.0,1012.0,1.0,0.5139268413923224,1.4155721855889962,1,1,0,1,1,1,1,1,0,0,6.0,1,20000.0,34.0,48.0
1012002.0,1012.0,1.0,0.3509298054585345,1.0548939933351427,0,0,0,1,1,1,1,1,0,0,6.0,1,8000.0,30.0,42.0
1012003.0,1012.0,1.0,0.2734839160448099,-0.08402363116031761,1,1,0,1,1,0,1,1,0,0,6.0,1,2000.0,32.0,30.0
1012010.0,1012.0,1.0,0.2922157582981955,0.8330680643737959,1,1,0,1,1,1,1,1,0,0,6.0,1,2000.0,30.0,38.0
1012011.0,1012.0,1.0,0.3117842105796708,-0.1476256969152587,0,0,0,1,1,1,1,1,0,0,6.0,1,4000.0,28.0,30.0
1013003.0,1013.0,1.0,0.34063532407653363,1.386974896165378,1,1,1,1,1,0,0,1,0,0,6.0,1,6000.0,32.0,44.0
1013008.0,1013.0,1.0,0.40346433609457205,0.7913985343594502,1,1,1,1,1,0,0,1,0,0,6.0,1,10000.0,32.0,38.0
1013015.0,1013.0,1.0,0.323017045534528,-0.47700852404883154,1,1,1,1,1,0,0,1,0,0,6.0,1,6000.0,32.0,26.0
1013021.0,1013.0,1.0,0.5126618322140117,0.4751197343182715,0,0,1,1,1,0,1,1,0,0,6.0,1,20000.0,34.0,34.0
1013038.0,1013.0,1.0,0.32541958364156326,1.0937377668574881,1,1,1,1,1,0,0,0,0,0,6.0,1,6000.0,28.0,42.0
