id,treatment_match,costs,er_amount_total,dayXlocation,us_stu_insch,us_stu_edlvl,us_stu_grade,us_stu_edlvl_all,us_stu_female,us_stu_mig_rel,us_stu_age,us_stu_grade_all,us_stu_yearsofed,us_stu_mig_rel_child,us_stu_mig_rel_sib,us_stu_mig_rel_niece,us_stu_mig_rel_cousin,treatment_tmp1,treatment_tmp2
200094.0,3,0.0,0.0,1.1902,1.0,5.0,2.0,5.0,0.0,2.0,25.0,2.0,14.0,0.0,1.0,0.0,0.0,1.0,1.0
200095.0,2,0.0,0.0,1.1902,1.0,5.0,3.0,5.0,0.0,4.0,22.0,3.0,15.0,0.0,0.0,1.0,0.0,0.0,0.0
200096.0,2,0.0,0.0,1.1902,1.0,5.0,2.0,5.0,0.0,1.0,20.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0
200101.0,3,0.0,0.0,1.19025,1.0,4.0,11.0,4.0,1.0,4.0,17.0,11.0,11.0,0.0,0.0,1.0,0.0,1.0,1.0
200102.0,1,0.0,0.0,1.19025,1.0,3.0,9.0,3.0,0.0,5.0,18.0,9.0,9.0,0.0,0.0,0.0,1.0,0.0,
200103.0,1,0.0,0.0,1.19025,1.0,4.0,10.0,4.0,1.0,4.0,15.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
200104.0,2,0.0,0.0,1.19025,1.0,6.0,1.0,6.0,0.0,4.0,20.0,1.0,13.0,0.0,0.0,1.0,0.0,0.0,0.0
200105.0,1,0.0,0.0,1.19025,1.0,3.0,9.0,3.0,1.0,4.0,15.0,9.0,9.0,0.0,0.0,1.0,0.0,0.0,
210006.0,1,0.0,0.0,1.18947,1.0,3.0,9.0,3.0,0.0,2.0,17.0,9.0,9.0,0.0,1.0,0.0,0.0,0.0,
210019.0,1,0.0,0.0,1.18947,1.0,4.0,10.0,4.0,0.0,4.0,17.0,10.0,10.0,0.0,0.0,1.0,0.0,0.0,
210020.0,3,0.0,0.0,1.18947,1.0,5.0,5.0,5.0,0.0,4.0,22.0,5.0,17.0,0.0,0.0,1.0,0.0,1.0,1.0
210028.0,3,0.0,0.0,1.18959,1.0,4.0,13.0,4.0,1.0,4.0,15.0,13.0,13.0,0.0,0.0,1.0,0.0,1.0,1.0
210031.0,1,0.0,0.0,1.18959,1.0,4.0,10.0,4.0,1.0,2.0,18.0,10.0,10.0,0.0,1.0,0.0,0.0,0.0,
210032.0,1,0.0,0.0,1.18959,1.0,5.0,2.0,5.0,0.0,3.0,19.0,2.0,14.0,0.0,0.0,0.0,0.0,0.0,
210036.0,3,0.0,0.0,1.18973,1.0,5.0,3.0,5.0,0.0,1.0,23.0,3.0,15.0,1.0,0.0,0.0,0.0,1.0,1.0
210037.0,3,0.0,0.0,1.18959,1.0,5.0,1.0,5.0,0.0,5.0,17.0,1.0,13.0,0.0,0.0,0.0,1.0,1.0,1.0
210038.0,1,0.0,0.0,1.18973,1.0,4.0,13.0,4.0,1.0,1.0,19.0,13.0,13.0,1.0,0.0,0.0,0.0,0.0,
210039.0,3,0.0,0.0,1.18973,1.0,4.0,10.0,4.0,0.0,4.0,16.0,10.0,10.0,0.0,0.0,1.0,0.0,1.0,1.0
